OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
93566,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
90321,Suspicious Person (P),YES,NO,Black,Black,Female,1.0
31389,Suspicious Person (P),NO,NO,Black,Black,Female,3.0
138452,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
119388,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
134137,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
73607,Suspicious Person (P),NO,NO,White,White,Female,3.0
129879,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,3.0
130252,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
154839,Suspicious Person (P),YES,NO,Black,Black,Male,2.0
32049,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
67219,Suspicious Person (P),NO,NO,White,White,Male,1.0
26328,Traffic Law Enforcement (P),NO,NO,East African,Black,Male,2.0
28057,Suspicious Person (P),NO,NO,White,White,Male,2.0
84753,Suspicious Person (P),NO,NO,White,White,Female,3.0
115033,Traffic Law Enforcement (P),NO,NO,White,White,Female,4.0
86494,Suspicious Vehicle (P),YES,YES,Black,Black,Male,4.0
125167,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
34725,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
17777,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
89752,Suspicious Person (P),NO,NO,Latino,Latino,Male,5.0
39886,Attempt Pick-Up (P),NO,NO,White,White,Male,3.0
9544,Traffic Law Enforcement (P),NO,NO,Latino,Latino,Male,3.0
9099,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
96307,Suspicious Person (P),NO,NO,White,White,Male,2.0
100273,Suspicious Person (P),NO,NO,East African,East African,Male,5.0
104929,Traffic Law Enforcement (P),NO,NO,White,Native American,Female,3.0
141555,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
148334,Suspicious Person (P),NO,NO,White,White,Male,1.0
27951,Suspicious Person (P),NO,NO,White,White,Male,1.0
115336,Suspicious Person (P),NO,NO,White,White,Female,5.0
66682,Suspicious Person (P),NO,YES,Other,Other,Male,5.0
45348,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
52124,Traffic Law Enforcement (P),NO,NO,White,Black,Male,5.0
144308,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
101302,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
133979,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
53312,Suspicious Person (P),YES,NO,White,White,Male,3.0
36070,Suspicious Vehicle (P),YES,YES,Black,Black,Male,5.0
53930,Suspicious Person (P),NO,NO,White,White,Female,1.0
60078,Suspicious Vehicle (P),NO,NO,East African,East African,Male,3.0
105655,Suspicious Vehicle (P),YES,YES,Asian,Asian,Male,3.0
54154,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,3.0
150659,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
130501,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
33615,Suspicious Vehicle (P),YES,YES,Latino,Latino,Male,3.0
78456,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
106011,Suspicious Vehicle (P),NO,NO,Black,Black,Male,5.0
21898,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
69584,Suspicious Person (P),NO,NO,White,White,Male,4.0
76086,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
20042,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
65942,Suspicious Vehicle (P),YES,YES,Native American,Native American,Male,3.0
127577,Attempt Pick-Up (P),YES,YES,Black,Black,Male,3.0
48542,Suspicious Vehicle (P),NO,NO,Latino,Latino,Male,4.0
139044,Suspicious Person (P),NO,NO,White,White,Male,5.0
11083,Traffic Law Enforcement (P),YES,NO,Black,Black,Male,2.0
5354,Suspicious Person (P),NO,NO,Native American,Native American,Female,4.0
90937,Suspicious Vehicle (P),YES,YES,White,White,Male,2.0
61380,Suspicious Vehicle (P),NO,NO,Black,Black,Male,2.0
76413,Attempt Pick-Up (P),NO,NO,Black,Black,Male,4.0
139315,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
62451,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
112207,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
137616,Traffic Law Enforcement (P),YES,NO,White,Other,Male,3.0
137977,Suspicious Vehicle (P),NO,NO,Other,Black,Female,4.0
146207,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
60326,Traffic Law Enforcement (P),NO,NO,White,Other,Male,5.0
114795,Attempt Pick-Up (P),NO,NO,Black,Black,Male,2.0
11244,Suspicious Person (P),NO,NO,White,White,Male,5.0
151286,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
65540,Traffic Law Enforcement (P),YES,NO,White,White,Male,2.0
