OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
13654,Traffic Law Enforcement (P),NO,NO,White,Black,Female,5.0
77869,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
83442,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
102649,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
129042,Suspicious Person (P),NO,NO,White,White,Male,2.0
76706,Suspicious Person (P),NO,NO,White,White,Female,5.0
17019,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
65512,Suspicious Vehicle (P),NO,NO,Black,Black,Male,5.0
38475,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
90657,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
73248,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
